pool_hash,pool_id,operator_group,source,source_detail
3fe5cbddcaf2cf4135a278590dc250152cfdfc4f88450322e7074788,pool18ljuhhw27t85zddz0pvsmsjsz5k0mlz03pzsxgh8qarcsw5wycc,CAFE,pool_groups_current_HEAD,pool_clusters.json group; ticker=CAFE3; balanceanalytics_group=CAFE; adastat_group=cardanocafe.org
5b60373e718a3647ec57f610b9942f91286748ddeaa0ad226acb927b,pool1tdsrw0n33gmy0mzh7cgtn9p0jy5xwjxaa2s26gn2ewf8kg4nrzx,CAFE,pool_groups_current_HEAD,pool_clusters.json group; ticker=CAFE; balanceanalytics_group=CAFE; adastat_group=cardanocafe.org
e24313f4a277d8c18b04374cd1b3aca3e6df7454f9382bd56fbc4015,pool1ufp38a9zwlvvrzcyxaxdrvav50nd7az5lyuzh4t0h3qp2gqamsx,CAFE,pool_groups_current_HEAD,pool_clusters.json group; ticker=CAFE2; balanceanalytics_group=CAFE; adastat_group=cardanocafe.org
2a70a609a9506d55738a3d4e11884fa71bc68ffb759688315069f76d,,CANUK,pool_groups_2021_01_06_99b3c61d,pool_list.json cluster_name; ticker=CNUK3; name=Cardano Canucks Pool Three
90b265d73d812200a842f90bd01bc9f943a713b0dc936238c686c0a9,,CANUK,pool_groups_2021_01_06_99b3c61d,pool_list.json cluster_name; ticker=CNUK2; name=Cardano Canucks Pool Two
2efcfd92f766bbeaa79ad07ab4ff648f11ec17c029e66d2abe343937,,CAPEX,pool_groups_2021_01_06_99b3c61d,pool_list.json cluster_name; ticker=CAPEY; name=CArdano Pools EXplained - 2
4042098128e6161d238f01ff474ae4cbe6451c82498b1bd8713d7098,,CAPEX,pool_groups_2021_01_06_99b3c61d,pool_list.json cluster_name; ticker=CAPEX; name=CArdano Pools EXplained
2313599837d144bdbd6897a3cdecc0ad2c995f38275aad6626c29ef5,pool1yvf4nxph69ztm0tgj73ummxq45kfjhecyad26e3xc2002xgzalg,CCV,pool_groups_current_HEAD,pool_clusters.json group; ticker=CCV4; balanceanalytics_group=CCV; adastat_group=ccv3000.github.io
849cdde779a0a0faaa4276dac342f762bd6c84d6cbf637a92a20bb88,pool1sjwdmeme5zs042jzwmdvxshhv27kepxke0mr02f2yzacsyd4wtu,CCV,pool_groups_current_HEAD,pool_clusters.json group; ticker=CCV; balanceanalytics_group=CCV; adastat_group=ccv3000.github.io
903c38e5905f1587d5ecf8c875a181725fb4b12b3eb06ce1d20bb1c6,pool1jq7r3evstu2c040vlry8tgvpwf0mfvft86cxecwjpwcuvvqfu2r,CCV,pool_groups_current_HEAD,pool_clusters.json group; ticker=CCV3; balanceanalytics_group=CCV; adastat_group=ccv3000.github.io
