epoch,k,decentralisation,min_pool_cost_ada,source,generated_at
270,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
271,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
272,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
273,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
274,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
275,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
276,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
277,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
278,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
279,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
280,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
281,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
282,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
283,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
284,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
285,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
286,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
287,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
288,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
289,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
290,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
291,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
292,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
293,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
294,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
295,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
296,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
297,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
298,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
299,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
300,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
301,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
302,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
303,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
304,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
305,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
306,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
307,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
308,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
309,500,0,340.0,https://koios.tosidrop.me/api/v1/epoch_params,2026-05-19T18:01:40+00:00
